UniProt_accession,Protein_name,Gene,Length
A0ABR0TTH7,Srp40 C-terminal domain-containing protein,QM012_004547,373
A0ABR0TTI2,protein-tyrosine-phosphatase,QM012_004572,637
A0ABR0TU75,Zn(2)-C6 fungal-type domain-containing protein,QM012_004686,377
A0ABR0TUR6,Ammonium transporter,QM012_004409,481
A0ABR0TUX5,Ion transport domain-containing protein,QM012_004848,1185
A0ABR0TV12,Nephrocystin 3-like N-terminal domain-containing protein,QM012_004878,2073
A0ABR0TV34,NIPSNAP domain-containing protein,QM012_000256,330
A0ABR0TVF3,SMP-30/Gluconolactonase/LRE-like region domain-containing protein,QM012_000195,424
A0ABR0TVH4,RTA1-domain-containing protein,QM012_000290,313
A0ABR0TVY7,BZIP domain-containing protein,QM012_000239,233
A0ABR0TW67,Uncharacterized protein,QM012_000235,114
A0ABR0TWV6,Major facilitator superfamily (MFS) profile domain-containing protein,QM012_000770,569
A0ABR0TWZ4,RFX-type winged-helix domain-containing protein,QM012_000657,838
A0ABR0TXC6,tRNA uridine 5-carboxymethylaminomethyl modification enzyme C-terminal subdomain domain-containing protein,QM012_000538,677
A0A1A7MSJ1,Small ribosomal subunit protein eS1,RPS1,255
A0ABR0T4E3,Thioredoxin-like fold domain-containing protein,QM012_005623,258
A0ABR0T4H7,FAR1 domain-containing protein,QM012_005558,369
A0ABR0T4T3,Transcription factor domain-containing protein,QM012_005341,398
A0ABR0T625,Enoyl reductase (ER) domain-containing protein,QM012_004976,344
A0ABR0T657,S-adenosyl-L-methionine-dependent methyltransferase,QM012_005014,287
A0ABR0T681,DUF7514 domain-containing protein,QM012_005467,498
A0ABR0T6R1,ABC transporter,QM012_004106,1412
A0ABR0T6V3,Cytochrome b5 heme-binding domain-containing protein,QM012_005052,325
A0ABR0T719,pH-response transcription factor pacC/RIM101,QM012_003872,729
A0ABR0T772,Enoyl reductase (ER) domain-containing protein,QM012_004150,311
A0ABR0T8Y6,Ras small GTPase,QM012_003502,183
A0ABR0T9Q5,Uncharacterized protein,QM012_003253,126
A0ABR0T9T7,Uncharacterized protein,QM012_002975,143
A0ABR0TA05,Ribosomal protein/NADH dehydrogenase domain-containing protein,QM012_003220,94
A0ABR0TA55,mitogen-activated protein kinase,QM012_002652,485
A0ABR0TAV3,Peptidase A1 domain-containing protein,QM012_002906,436
A0ABR0TB99,BTB domain-containing protein,QM012_002733,79
A0ABR0TBG9,Transcription initiation factor IIB,QM012_002273,362
A0ABR0TBL5,mitogen-activated protein kinase kinase,QM012_002289,647
A0ABR0TC46,DUF7871 domain-containing protein,QM012_002362,113
A0ABR0TCE4,mitochondrial processing peptidase,QM012_002419,487
A0ABR0TCG1,histidine kinase,QM012_002165,1336
A0ABR0TCH8,MFS general substrate transporter,QM012_002180,380
A0ABR0TCR4,Aminotransferase class V domain-containing protein,QM012_001874,445
A0ABR0TCX7,ABC multidrug transporter-like protein,QM012_001941,1504
A0ABR0TE74,C2H2-type domain-containing protein,QM012_001387,1146
A0ABR0TEC3,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 2,QM012_001262,60
A0ABR0TEF9,Zn(2)-C6 fungal-type domain-containing protein,QM012_001544,701
A0ABR0TEK7,chitinase,QM012_001522,558
A0ABR0TEU5,Zn(2)-C6 fungal-type domain-containing protein,QM012_001427,879
A0ABR0TEY1,Amino acid permease,QM012_000819,564
A0ABR0TF43,Thioredoxin domain-containing protein,QM012_000888,228
A0ABR0TF81,Ribosomal RNA-processing protein 40,QM012_000938,241
A0ABR0TFA4,TUG ubiquitin-like domain-containing protein,QM012_001547,521
A0ABR0TFG8,DUF8383 domain-containing protein,QM012_001521,222
A0ABR0TFP1,Alpha-galactosidase,QM012_000929,452
A0ABR0TFW3,P-loop containing nucleoside triphosphate hydrolase protein,QM012_001160,852
A0ABR0TGC5,Glucose-methanol-choline oxidoreductase N-terminal domain-containing protein,QM012_009173,571
A0ABR0TGE3,DUF6606 domain-containing protein,QM012_001032,336
A0ABR0TGN7,NUDE domain-containing protein,QM012_009369,591
A0ABR0TH60,Smr domain-containing protein,QM012_001140,527
A0ABR0THA2,WD40 repeat-like protein,QM012_009583,1354
A0ABR0THC9,Calcineurin-like phosphoesterase domain-containing protein,QM012_009425,485
A0ABR0THL6,Mannosyltransferase,QM012_008687,555
A0ABR0THX6,Glutathione S-transferase-like protein,QM012_008898,231
A0ABR0THY8,Glycoside hydrolase protein,QM012_009301,471
A0ABR0TIK7,NAD(P)-binding domain-containing protein,QM012_009079,336
A0ABR0TIY5,Uncharacterized protein,QM012_008896,173
A0ABR0TIZ3,ER transporter 6TM N-terminal domain-containing protein,QM012_009152,1004
A0ABR0TJ44,adenosylmethionine decarboxylase,QM012_008289,495
A0ABR0TJB6,Queuine tRNA-ribosyltransferase accessory subunit 2,QM012_008405,461
A0ABR0TK73,Autophagy-related protein 16 domain-containing protein,QM012_007637,181
A0ABR0TK75,Uncharacterized protein,QM012_008192,236
A0ABR0TKA7,Uncharacterized protein,QM012_007623,102
A0ABR0TKK0,Uncharacterized protein,QM012_008478,654
A0ABR0TLR4,Amidase signature enzyme,QM012_007614,712
A0ABR0TLR8,PHD-type domain-containing protein,QM012_008118,472
A0ABR0TLT0,C2 domain-containing protein,QM012_007043,644
A0ABR0TM86,Malic enzyme,QM012_007200,599
A0ABR0TMX0,Protein kinase domain-containing protein,QM012_007418,580
A0ABR0TNK4,Altered inheritance of mitochondria protein 6,QM012_007564,414
A0ABR0TP06,Prefoldin subunit 3,QM012_007257,202
A0ABR0TP14,Rab-GAP TBC domain-containing protein,QM012_006607,609
A0ABR0TPA5,Chromosome condensation protein,QM012_006698,490
A0ABR0TPC1,DNA repair protein,QM012_007378,1144
A0ABR0TPN8,Small ribosomal subunit protein uS5m,QM012_006829,452
A0ABR0TPS1,Mid2 domain-containing protein,QM012_006674,277
A0ABR0TPV7,TPR-like protein,QM012_006883,390
A0ABR0TPZ5,NAD(P)-binding protein,QM012_006586,328
A0ABR0TQ11,Alpha-glucosidase,QM012_006949,593
A0ABR0TQC3,Transposase Tc1-like domain-containing protein,QM012_006491,233
A0ABR0TQD2,NADH:flavin oxidoreductase/NADH oxidase N-terminal domain-containing protein,QM012_005661,350
A0ABR0TQF3,Major facilitator superfamily (MFS) profile domain-containing protein,QM012_005654,697
A0ABR0TQM1,Uncharacterized protein,QM012_005729,135
A0ABR0TQW9,Ankyrin,QM012_005834,294
A0ABR0TQX6,Mitochondrial division protein 1,QM012_005861,398
A0ABR0TQX7,Uncharacterized protein,QM012_005856,367
A0ABR0TRG2,Uncharacterized protein,QM012_005857,300
A0ABR0TRI4,Cyclin N-terminal domain-containing protein,QM012_006076,570
A0ABR0TRX0,Uncharacterized protein,QM012_005628,213
A0ABR0TS13,Trafficking protein particle complex subunit BET3,QM012_006236,190
A0ABR0TSD4,Proteasome subunit beta,QM012_006020,266
A0ABR0TSN6,DUF7702 domain-containing protein,QM012_005948,272
A0ABR0TSR7,Glycosyl transferase,QM012_004292,314
A0ABR0TSZ4,Potassium transporter,QM012_004402,814
A0ABR0TT38,C2H2-type domain-containing protein,QM012_004412,684
A0ABR0TTV3,Amino acid transporter transmembrane domain-containing protein,QM012_004400,558
A0ABR0TTW6,TAZ-type domain-containing protein,QM012_004682,319
A0ABR0TTY3,S-adenosyl-L-methionine-dependent methyltransferase,QM012_004733,378
A0ABR0TU07,DH domain-containing protein,QM012_004752,1600
A0ABR0TUA1,Cell morphogenesis protein,QM012_004839,3601
A0ABR0TUQ0,NmrA-like domain-containing protein,QM012_004394,306
A0ABR0TV83,Glycoside hydrolase family 125 protein,QM012_004816,543
A0ABR0TV97,Histone deacetylase complex subunit SAP30 Sin3 binding domain-containing protein,QM012_004605,165
A0ABR0TVL7,RNA polymerase II holoenzyme cyclin-like subunit,QM012_000436,289
A0ABR0TWB5,NADH:ubiquinone oxidoreductase intermediate-associated protein 30 domain-containing protein,QM012_000374,251
A0ABR0TWQ0,DUF171-domain-containing protein,QM012_000238,378
A0ABR0TX39,Phosphatidylinositol 3-kinase VPS34,QM012_000580,916
A0ABR0TX92,Uncharacterized protein,QM012_000640,604
A0ABR0T4K4,Low affinity iron permease,QM012_005484,478
A0ABR0T525,Ran-binding-domain-containing protein,QM012_005392,703
A0ABR0T570,Protein kinase domain-containing protein,QM012_005489,370
A0ABR0T5F1,Heterokaryon incompatibility domain-containing protein,QM012_005316,177
A0ABR0T5F7,Amino acid transporter transmembrane domain-containing protein,QM012_005440,478
A0ABR0T655,Major facilitator superfamily (MFS) profile domain-containing protein,QM012_005472,522
A0ABR0T6E3,COMPASS complex Set1 subunit N-SET domain-containing protein,QM012_005414,148
A0ABR0T6I6,Malate dehydrogenase,QM012_005287,201
A0ABR0T6Y7,FAD-binding domain-containing protein,QM012_003846,412
A0ABR0T7E0,NodB homology domain-containing protein,QM012_004147,287
A0ABR0T7G0,histidine kinase,QM012_003619,1285
A0ABR0T7G3,3-phytase,QM012_005009,428
A0ABR0T7G5,"D-arabinono-1,4-lactone oxidase",QM012_003637,460
A0ABR0T7K7,DUF1761-domain-containing protein,QM012_003659,151
A0ABR0T7K9,Uncharacterized protein,QM012_005054,452
A0ABR0T7W0,Peptidase M3A/M3B catalytic domain-containing protein,QM012_003769,718
A0ABR0T7X3,Monopolin complex subunit Csm1/Pcs1 C-terminal domain-containing protein,QM012_003790,523
A0ABR0T8S6,Enoyl reductase (ER) domain-containing protein,QM012_003504,345
A0ABR0T915,Uncharacterized protein,QM012_003532,96
A0ABR0T968,Dioxygenase,QM012_003782,301
A0ABR0T994,Proline dehydrogenase,QM012_003090,472
A0ABR0T9M5,NAD(P)-binding protein,QM012_003405,299
A0ABR0T9T4,Aminoglycoside phosphotransferase domain-containing protein,QM012_003465,419
A0ABR0TA66,Rhodopsin domain-containing protein,QM012_002993,308
A0ABR0TA83,Ras-domain-containing protein,QM012_003009,213
A0ABR0TAJ2,Tyrosine specific protein phosphatases domain-containing protein,QM012_002789,294
A0ABR0TC93,Serine hydrolase domain-containing protein,QM012_002121,248
A0ABR0TC96,Arylsulfotransferase,QM012_002407,578
A0ABR0TCJ8,t-SNARE coiled-coil homology domain-containing protein,QM012_001767,225
A0ABR0TCP2,Dolichol-phosphate mannosyltransferase subunit 1,QM012_002240,242
A0ABR0TDA1,Ribosomal protein/NADH dehydrogenase domain-containing protein,QM012_002054,217
A0ABR0TDI0,RING-type E3 ubiquitin transferase,QM012_001942,383
A0ABR0TDQ2,V-SNARE coiled-coil homology domain-containing protein,QM012_001316,203
A0ABR0TDW1,"N-acetylgalactosaminide beta-1,3-galactosyltransferase",QM012_001360,497
A0ABR0TDW6,N-acetylglucosamine-induced protein 1,QM012_001759,225
A0ABR0TE80,Uncharacterized protein,QM012_001481,167
A0ABR0TEB4,Crh-like protein,QM012_001499,410
A0ABR0TES5,60S ribosomal protein L20,QM012_001597,174
A0ABR0TF23,Rhodopsin domain-containing protein,QM012_001594,403
A0ABR0TF45,Putative tRNA (cytidine(32)/guanosine(34)-2'-O)-methyltransferase,QM012_000906,372
A0ABR0TFV8,Uncharacterized protein,QM012_001595,301
A0ABR0TG15,F-box domain-containing protein,QM012_001223,642
A0ABR0TGE6,NcaA domain-containing protein,QM012_000885,605
A0ABR0TGF3,Ubiquitin fusion degradation protein,QM012_009266,739
A0ABR0TGZ2,U2 auxiliary factor small subunit,QM012_009383,209
A0ABR0TH19,Uncharacterized protein,QM012_001060,308
A0ABR0THW2,NADP-dependent oxidoreductase domain-containing protein,QM012_009321,318
A0ABR0TIB0,Multiprotein-bridging factor 1,QM012_008712,159
A0ABR0TIF7,RraA-like protein,QM012_009058,228
A0ABR0TII8,Sphingomyelin phosphodiesterase,QM012_009098,689
A0ABR0TJ48,Uncharacterized protein,QM012_008956,94
A0ABR0TJ98,Mediator of RNA polymerase II transcription subunit 6,MED6,352
A0ABR0TKS7,Acetyl-CoA synthetase-like protein,QM012_007835,562
A0ABR0TL52,Elongation factor 1 alpha-like protein,QM012_007955,822
A0ABR0TL76,Uncharacterized protein,QM012_007783,219
A0ABR0TLS2,Endosomal peripheral membrane protein,QM012_008071,1652
A0ABR0TLU2,Uncharacterized protein,QM012_007057,368
A0ABR0TM84,fumarate reductase (NADH),QM012_007190,636
A0ABR0TM97,Glyoxylate reductase,QM012_007210,329
A0ABR0TMI6,Ribosomal protein S14,QM012_007904,56
A0ABR0TMQ5,HEAT repeat protein,QM012_007959,2644
A0ABR0TN59,MIP18 family-like domain-containing protein,QM012_007188,204
A0ABR0TPE9,DnaJ-domain-containing protein,QM012_007377,564
A0ABR0TQ23,Uncharacterized protein,QM012_006963,352
A0ABR0TQ78,NADP-dependent oxidoreductase domain-containing protein,QM012_006430,349
A0ABR0TQM4,Uncharacterized protein,QM012_005747,41
A0ABR0TQP2,Glucose-methanol-choline oxidoreductase N-terminal domain-containing protein,QM012_006675,118
A0ABR0TQS9,Imidazole glycerol phosphate synthase hisHF,QM012_005805,551
A0ABR0TQY7,Alpha/beta hydrolase fold-3 domain-containing protein,QM012_006927,349
A0ABR0TR51,Importin N-terminal domain-containing protein,QM012_006987,1102
A0ABR0TRK1,MI domain-containing protein,QM012_005735,882
A0ABR0TRQ5,Phenylacetyl-CoA ligase-like protein,QM012_006134,584
A0ABR0TRR7,ESCRT-II complex subunit VPS25,QM012_006970,190
A0ABR0TRV8,DNA-directed RNA polymerase subunit beta,QM012_006165,1256
A0ABR0TRW1,Uncharacterized protein,QM012_005840,150
A0ABR0TRX7,Phosphatidylinositol N-acetylglucosaminyltransferase GPI3 subunit,QM012_006207,519
A0ABR0TS07,beta-glucosidase,QM012_006221,480
A0ABR0TS46,carnosine N-methyltransferase,QM012_006286,418
A0ABR0TSH8,Catalase core domain-containing protein,QM012_004224,504
A0ABR0TT25,Major facilitator superfamily (MFS) profile domain-containing protein,QM012_006034,503
A0ABR0TT46,Casein kinase II beta 2 subunit,QM012_004462,440
A0ABR0TU60,Zn(2)-C6 fungal-type domain-containing protein,QM012_004852,632
A0ABR0TUB8,Uncharacterized protein,QM012_004854,143
A0ABR0TUS4,Outer spore wall protein RRT8,QM012_000139,281
A0ABR0TV03,Lung carbonyl reductase,QM012_000183,253
A0ABR0TVE8,Succinate dehydrogenase subunit C,QM012_004876,185
A0ABR0TVF2,SEC7 domain-containing protein,QM012_000336,1454
A0ABR0TVG0,Zn(2)-C6 fungal-type domain-containing protein,QM012_004684,413
A0ABR0TVR6,Ras-related C3 botulinum toxin substrate 1,QM012_000472,199
A0ABR0TVW5,Nascent polypeptide-associated complex subunit beta,QM012_004845,141
A0ABR0TW38,NCS1 nucleoside transporter family,QM012_000013,527
A0ABR0TW76,WD40 repeat-like protein,QM012_000372,698
A0ABR0TWG3,RING-type domain-containing protein,QM012_000708,615
A0ABR0TWP9,Uncharacterized protein,QM012_000695,117
A0ABR0TWT4,Enoyl reductase (ER) domain-containing protein,QM012_000740,348
A0ABR0TWW9,RING-type domain-containing protein,QM012_000720,687
A0ABR0TX17,peptidylprolyl isomerase,QM012_000550,1502
A0ABR0TXB6,L-lactate dehydrogenase (cytochrome),QM012_000779,397
A0ABR0TXN9,Protein kinase domain-containing protein,QM012_000688,228
A0ABR0TXU3,SGNH hydrolase-type esterase domain-containing protein,QM012_000713,250
A0A1A7MRT4,AP complex subunit sigma,QM012_005739,145
A0A4S9NQN6,Tubulin beta chain,QM012_004357,447
A0ABR0T4Z5,Histidine-specific methyltransferase SAM-dependent domain-containing protein,QM012_005362,342
A0ABR0T5L5,Uncharacterized protein,QM012_005125,234
A0ABR0T5R8,Beta-lactamase/transpeptidase-like protein,QM012_005088,549
A0ABR0T659,Calcium-transporting ATPase,QM012_005006,999
A0ABR0T6F2,Fe2OG dioxygenase domain-containing protein,QM012_004004,367
A0ABR0T6X0,Cation efflux protein cytoplasmic domain-containing protein,QM012_005067,438
A0ABR0T8D6,Short-chain dehydrogenase/reductase 3,QM012_003428,347
A0ABR0T8K9,glycogenin glucosyltransferase,QM012_003952,637
A0ABR0T8L6,Lipocalin-like domain-containing protein,QM012_003505,313
A0ABR0T8T0,U3 small nucleolar ribonucleoprotein protein MPP10,QM012_003632,702
A0ABR0T957,Deoxyhypusine hydroxylase,LIA1,336
A0ABR0T9A9,Glycosyl transferase CAP10 domain-containing protein,QM012_003422,419
A0ABR0T9B3,Ferulic acid decarboxylase 1,FDC1,517
A0ABR0T9M2,Pectate lyase,QM012_003206,253
A0ABR0T9S8,D-mandelate dehydrogenase,QM012_002960,347
A0ABR0TA04,DUF3533 domain-containing protein,QM012_003035,483
A0ABR0TAB5,Uncharacterized protein,QM012_002714,341
A0ABR0TAW3,Sec1-like protein,QM012_002908,703
A0ABR0TAW5,BZIP domain-containing protein,QM012_002914,1443
A0ABR0TB07,DNA replication factor Cdt1 C-terminal domain-containing protein,QM012_002628,482
A0ABR0TB94,SWIRM domain-containing protein,QM012_002888,499
A0ABR0TBF2,Peptidase M20 dimerisation domain-containing protein,QM012_002677,478
A0ABR0TBR5,EF-hand domain-containing protein,QM012_002365,900
A0ABR0TBW4,Transcription factor domain-containing protein,QM012_002761,520
A0ABR0TCY2,Uncharacterized protein,QM012_001747,521
A0ABR0TD07,MYND-type domain-containing protein,QM012_002391,231
A0ABR0TDE3,NAD(P)-binding protein,QM012_002099,225
A0ABR0TDF1,ABC transmembrane type-1 domain-containing protein,QM012_002101,710
A0ABR0TDR4,U6 snRNA-associated Sm-like protein LSm1,LSM1,162
A0ABR0TDS5,Uncharacterized protein,QM012_001333,169
A0ABR0TE05,Fe2OG dioxygenase domain-containing protein,QM012_001406,342
A0ABR0TER4,Secreted protein,QM012_002108,160
A0ABR0TET7,Major facilitator superfamily (MFS) profile domain-containing protein,QM012_000787,510
A0ABR0TF28,Uncharacterized protein,QM012_000797,288
A0ABR0TF92,BTB domain-containing protein,QM012_000943,514
A0ABR0TFG0,F-box domain-containing protein,QM012_001010,572
A0ABR0TFJ5,Lysine--tRNA ligase,QM012_001057,626
A0ABR0TFJ9,Exocyst complex component Sec10,QM012_001490,851
A0ABR0TFL5,Integral membrane protein,QM012_001505,136
A0ABR0TFV2,Ricin B lectin domain-containing protein,QM012_001641,480
A0ABR0TG22,Major facilitator superfamily (MFS) profile domain-containing protein,QM012_009154,481
A0ABR0TG26,Histidine kinase HHK15p,QM012_000912,1013
A0ABR0TGK9,Uncharacterized protein,QM012_000945,454
A0ABR0TGX9,HECT-type E3 ubiquitin transferase,QM012_001141,1824
A0ABR0TH46,MPN domain-containing protein,QM012_009537,2363
A0ABR0THJ4,Polyketide synthase,QM012_009166,1494
A0ABR0THK1,Uncharacterized protein,QM012_009378,250
A0ABR0THP3,SprT-like domain-containing protein,QM012_009211,347
A0ABR0THQ5,Peroxin/Ferlin domain-containing protein,QM012_009261,570
A0ABR0TI84,Pre-mRNA-splicing factor,QM012_009441,1411
A0ABR0TIC2,Chaperone protein dnaJ,QM012_008942,421
A0ABR0TIE5,Conserved oligomeric Golgi complex subunit 1,QM012_009037,783
A0ABR0TJ08,Dolichyl-phosphate-mannose--protein mannosyltransferase,QM012_009074,740
A0ABR0TJG8,Endothelin-converting enzyme,QM012_009117,795
A0ABR0TK20,CCHC-type domain-containing protein,QM012_009071,248
A0ABR0TK44,EKC/KEOPS complex subunit BUD32,QM012_008649,296
A0ABR0TKM3,Vacuolar protein 14 C-terminal Fig4-binding domain-containing protein,QM012_008656,917
A0ABR0TKQ8,Uncharacterized protein,QM012_008538,465
A0ABR0TL90,Ornithine decarboxylase,QM012_007706,445
A0ABR0TLD5,Amidoligase enzyme,QM012_007998,506
A0ABR0TM17,"Endo-1,4-beta-xylanase",QM012_007119,231
A0ABR0TMT7,RNA helicase,QM012_007201,632
A0ABR0TN17,3-dehydrosphinganine reductase,QM012_008064,350
A0ABR0TN52,PLC-like phosphodiesterase,QM012_007229,488
A0ABR0TND3,Acetyl-CoA synthetase-like protein,QM012_006368,551
A0ABR0TNM1,50S ribosomal protein-like protein YmL27,QM012_006444,101
A0ABR0TP56,FAD/NAD(P)-binding domain-containing protein,QM012_007559,446
A0ABR0TPD3,Arrestin C-terminal-like domain-containing protein,QM012_006703,799
A0ABR0TQ38,"GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase",QM012_006857,535
A0ABR0TQD0,Exonuclease V,QM012_005667,610
A0ABR0TQQ6,DDHD domain-containing protein,QM012_005786,929
A0ABR0TQY0,Endonuclease/exonuclease/phosphatase domain-containing protein,QM012_005862,459
A0ABR0TQY6,Major facilitator superfamily (MFS) profile domain-containing protein,QM012_005881,451
A0ABR0TR25,SCD domain-containing protein,QM012_005901,1182
A0ABR0TRA2,Redoxin domain-containing protein,QM012_005970,200
A0ABR0TRH1,DNA replication checkpoint mediator MRC1 domain-containing protein,QM012_006945,589
A0ABR0TRI7,Major facilitator superfamily (MFS) profile domain-containing protein,QM012_006072,537
A0ABR0TRN3,ADP/ATP translocase,QM012_006118,315
A0ABR0TRW0,Plasma membrane iron permease,QM012_006186,363
A0ABR0TS12,DUF4484 domain-containing protein,QM012_006253,556
A0ABR0TS93,NAD-dependent epimerase/dehydratase domain-containing protein,QM012_006321,825
A0ABR0TT90,Carboxymuconolactone decarboxylase-like domain-containing protein,QM012_004436,199
A0ABR0TTE6,G-protein alpha subunit,QM012_004250,344
